"cohort_month","month_number","retained_customers"
"2009-12",0,952
"2009-12",1,334
"2009-12",2,318
"2009-12",3,405
"2009-12",4,361
"2009-12",5,343
"2009-12",6,359
"2009-12",7,328
"2009-12",8,322
"2009-12",9,345
"2009-12",10,402
"2009-12",11,473
"2009-12",12,358
"2009-12",13,269
"2009-12",14,233
"2009-12",15,289
"2009-12",16,251
"2009-12",17,289
"2009-12",18,271
"2009-12",19,247
"2009-12",20,243
"2009-12",21,299
"2009-12",22,290
"2009-12",23,387
"2009-12",24,188
"2010-01",0,368
"2010-01",1,79
"2010-01",2,118
"2010-01",3,116
"2010-01",4,100
"2010-01",5,114
"2010-01",6,99
"2010-01",7,86
"2010-01",8,105
"2010-01",9,120
"2010-01",10,114
"2010-01",11,66
"2010-01",12,84
"2010-01",13,66
"2010-01",14,72
"2010-01",15,56
"2010-01",16,90
"2010-01",17,75
"2010-01",18,71
"2010-01",19,74
"2010-01",20,93
"2010-01",21,73
"2010-01",22,93
"2010-01",23,21
"2010-02",0,375
"2010-02",1,88
"2010-02",2,85
"2010-02",3,110
"2010-02",4,92
"2010-02",5,74
"2010-02",6,72
"2010-02",7,108
"2010-02",8,96
"2010-02",9,104
"2010-02",10,43
"2010-02",11,47
"2010-02",12,57
"2010-02",13,66
"2010-02",14,46
"2010-02",15,75
"2010-02",16,60
"2010-02",17,61
"2010-02",18,54
"2010-02",19,86
"2010-02",20,86
"2010-02",21,62
"2010-02",22,22
"2010-03",0,441
"2010-03",1,84
"2010-03",2,102
"2010-03",3,107
"2010-03",4,102
"2010-03",5,90
"2010-03",6,109
"2010-03",7,135
"2010-03",8,122
"2010-03",9,48
"2010-03",10,51
"2010-03",11,64
"2010-03",12,88
"2010-03",13,72
"2010-03",14,88
"2010-03",15,75
"2010-03",16,77
"2010-03",17,69
"2010-03",18,78
"2010-03",19,90
"2010-03",20,94
"2010-03",21,34
"2010-04",0,294
"2010-04",1,56
"2010-04",2,56
"2010-04",3,47
"2010-04",4,54
"2010-04",5,65
"2010-04",6,81
"2010-04",7,78
"2010-04",8,31
"2010-04",9,32
"2010-04",10,22
"2010-04",11,41
"2010-04",12,42
"2010-04",13,46
"2010-04",14,46
"2010-04",15,46
"2010-04",16,41
"2010-04",17,44
"2010-04",18,53
"2010-04",19,67
"2010-04",20,17
"2010-05",0,255
"2010-05",1,40
"2010-05",2,43
"2010-05",3,45
"2010-05",4,45
"2010-05",5,65
"2010-05",6,54
"2010-05",7,32
"2010-05",8,15
"2010-05",9,21
"2010-05",10,29
"2010-05",11,34
"2010-05",12,39
"2010-05",13,39
"2010-05",14,25
"2010-05",15,32
"2010-05",16,35
"2010-05",17,42
"2010-05",18,39
"2010-05",19,12
"2010-06",0,267
"2010-06",1,47
"2010-06",2,50
"2010-06",3,55
"2010-06",4,62
"2010-06",5,76
"2010-06",6,34
"2010-06",7,24
"2010-06",8,22
"2010-06",9,30
"2010-06",10,28
"2010-06",11,37
"2010-06",12,40
"2010-06",13,33
"2010-06",14,30
"2010-06",15,33
"2010-06",16,35
"2010-06",17,54
"2010-06",18,13
"2010-07",0,185
"2010-07",1,29
"2010-07",2,34
"2010-07",3,55
"2010-07",4,54
"2010-07",5,26
"2010-07",6,21
"2010-07",7,27
"2010-07",8,27
"2010-07",9,21
"2010-07",10,25
"2010-07",11,27
"2010-07",12,24
"2010-07",13,25
"2010-07",14,36
"2010-07",15,32
"2010-07",16,44
"2010-07",17,15
"2010-08",0,163
"2010-08",1,32
"2010-08",2,47
"2010-08",3,53
"2010-08",4,27
"2010-08",5,19
"2010-08",6,16
"2010-08",7,21
"2010-08",8,22
"2010-08",9,21
"2010-08",10,21
"2010-08",11,19
"2010-08",12,24
"2010-08",13,28
"2010-08",14,28
"2010-08",15,32
"2010-08",16,12
"2010-09",0,239
"2010-09",1,55
"2010-09",2,56
"2010-09",3,31
"2010-09",4,21
"2010-09",5,25
"2010-09",6,33
"2010-09",7,23
"2010-09",8,31
"2010-09",9,31
"2010-09",10,29
"2010-09",11,24
"2010-09",12,54
"2010-09",13,40
"2010-09",14,40
"2010-09",15,13
"2010-10",0,375
"2010-10",1,97
"2010-10",2,55
"2010-10",3,47
"2010-10",4,33
"2010-10",5,31
"2010-10",6,49
"2010-10",7,52
"2010-10",8,40
"2010-10",9,35
"2010-10",10,40
"2010-10",11,48
"2010-10",12,72
"2010-10",13,87
"2010-10",14,26
"2010-11",0,326
"2010-11",1,57
"2010-11",2,31
"2010-11",3,31
"2010-11",4,25
"2010-11",5,29
"2010-11",6,42
"2010-11",7,33
"2010-11",8,28
"2010-11",9,30
"2010-11",10,36
"2010-11",11,48
"2010-11",12,82
"2010-11",13,21
"2010-12",0,76
"2010-12",1,7
"2010-12",2,4
"2010-12",3,7
"2010-12",4,9
"2010-12",5,5
"2010-12",6,4
"2010-12",7,7
"2010-12",8,4
"2010-12",9,2
"2010-12",10,7
"2010-12",11,15
"2010-12",12,2
"2011-01",0,72
"2011-01",1,12
"2011-01",2,16
"2011-01",3,14
"2011-01",4,16
"2011-01",5,11
"2011-01",6,11
"2011-01",7,9
"2011-01",8,8
"2011-01",9,15
"2011-01",10,18
"2011-01",11,8
"2011-02",0,125
"2011-02",1,20
"2011-02",2,20
"2011-02",3,23
"2011-02",4,27
"2011-02",5,20
"2011-02",6,20
"2011-02",7,19
"2011-02",8,19
"2011-02",9,23
"2011-02",10,8
"2011-03",0,179
"2011-03",1,32
"2011-03",2,39
"2011-03",3,36
"2011-03",4,40
"2011-03",5,27
"2011-03",6,37
"2011-03",7,36
"2011-03",8,43
"2011-03",9,17
"2011-04",0,106
"2011-04",1,26
"2011-04",2,21
"2011-04",3,21
"2011-04",4,19
"2011-04",5,25
"2011-04",6,19
"2011-04",7,27
"2011-04",8,12
"2011-05",0,111
"2011-05",1,26
"2011-05",2,27
"2011-05",3,18
"2011-05",4,24
"2011-05",5,23
"2011-05",6,29
"2011-05",7,13
"2011-06",0,108
"2011-06",1,25
"2011-06",2,23
"2011-06",3,29
"2011-06",4,22
"2011-06",5,30
"2011-06",6,9
"2011-07",0,101
"2011-07",1,21
"2011-07",2,30
"2011-07",3,28
"2011-07",4,35
"2011-07",5,16
"2011-08",0,107
"2011-08",1,28
"2011-08",2,32
"2011-08",3,28
"2011-08",4,18
"2011-09",0,188
"2011-09",1,51
"2011-09",2,71
"2011-09",3,28
"2011-10",0,221
"2011-10",1,70
"2011-10",2,35
"2011-11",0,191
"2011-11",1,27
"2011-12",0,28
